code,term
104583003,High density lipoprotein/total cholesterol ratio measurement
1172655006,Low density lipoprotein cholesterol below reference range
1172656007,Low density lipoprotein cholesterol within reference range
1172657003,Cholesterol/high density lipoprotein ratio within reference range
1172658008,Cholesterol/high density lipoprotein ratio below reference range
166828006,Serum cholesterol within reference range
166830008,Serum cholesterol above reference range
166831007,Serum cholesterol very high
247801000000106,Serum fasting total cholesterol
315017003,Fasting cholesterol level
395153009,Pre-treatment serum cholesterol level
442234001,Serum cholesterol borderline high
442350007,Serum cholesterol borderline low
